POS	ABBA	BABA	ABBB	BABB	other	no_data
5000	0	0	0	3	4114	5883
6000	0	0	0	3	4586	5411
7000	0	0	0	3	4424	5573
8000	0	1	0	7	4184	5808
9000	0	1	1	7	4069	5922
10000	0	1	1	7	4332	5659
11000	0	1	1	5	4060	5933
12000	0	1	1	5	3806	6187
13000	0	1	1	5	3567	6426
14000	0	1	2	4	3439	6554
15000	0	2	4	4	3525	6465
16000	0	2	4	4	2944	7046
17000	0	2	4	4	3214	6776
18000	0	1	4	0	3338	6657
19000	1	1	3	0	3516	6479
20000	1	1	3	0	3360	6635
21000	1	1	3	0	3494	6501
22000	1	1	3	0	4170	5825
23000	1	1	3	0	4439	5556
24000	1	1	2	0	4013	5983
25000	1	0	3	0	3838	6158
26000	1	0	3	0	4097	5899
27000	1	0	3	0	3647	6349
28000	1	0	3	0	3591	6405
29000	0	0	3	0	3505	6492
30000	0	0	3	0	3933	6064
31000	0	0	3	0	4174	5823
32000	0	0	3	0	3851	6146
33000	0	0	3	0	3882	6115
34000	0	0	3	0	4046	5950
35000	0	0	0	0	4670	5329
36000	0	0	0	0	4735	5264
37000	0	0	0	0	5497	4502
38000	0	0	0	0	5772	4227
39000	0	0	0	0	6085	3914
40000	0	0	0	0	6278	3721
41000	0	0	0	0	6218	3781
42000	0	0	0	0	6459	3540
43000	0	0	0	0	6510	3489
44000	0	0	0	0	6740	3260
45000	0	0	0	1	6762	3237
46000	0	0	0	1	6919	3080
47000	0	0	0	1	7143	2856
48000	0	0	0	1	7527	2472
49000	0	0	0	1	7734	2265
50000	0	0	0	1	7353	2646
51000	0	0	0	1	7397	2602
52000	0	1	0	1	7415	2583
53000	0	1	0	2	7366	2631
54000	0	1	0	2	7526	2471
55000	0	1	0	1	6906	3092
56000	0	1	1	1	6521	3476
57000	0	1	1	1	6389	3608
58000	0	1	1	1	6357	3640
59000	0	1	1	1	6424	3573
60000	0	1	1	1	6298	3699
61000	0	1	1	1	6457	3540
62000	0	0	1	1	6756	3242
63000	0	0	1	0	7066	2933
64000	0	0	1	0	7278	2721
65000	0	0	1	0	7744	2255
66000	0	0	0	0	8265	1735
67000	0	0	0	0	8281	1719
68000	0	0	0	0	7930	2070
69000	0	0	0	0	7527	2473
70000	0	0	0	0	7406	2594
71000	0	0	0	0	7297	2703
72000	0	0	0	0	7187	2813
73000	0	0	0	0	7038	2962
74000	0	0	0	0	6770	3230
75000	0	0	0	0	6693	3307
76000	0	0	0	0	6061	3939
77000	0	0	0	0	5428	4572
78000	0	0	0	0	4837	5163
79000	0	0	0	0	4301	5699
80000	0	0	0	0	4394	5606
81000	1	0	0	0	4413	5586
82000	1	0	0	0	4364	5635
83000	1	0	0	0	3805	6194
84000	1	0	0	0	3850	6149
85000	1	0	0	0	3771	6228
86000	1	0	0	0	4317	5682
87000	1	0	0	0	4957	5042
88000	1	0	0	0	5606	4393
89000	1	0	0	0	5881	4118
90000	1	0	0	0	6313	3686
91000	0	0	0	0	5778	4222
92000	0	0	0	0	5424	4576
93000	0	0	0	0	5782	4218
94000	0	0	0	0	5793	4207
95000	0	0	0	0	6127	3873
96000	0	0	0	0	6192	3808
97000	0	0	0	0	6276	3724
98000	0	0	0	0	6560	3440
99000	0	0	0	0	7236	2764
100000	0	0	0	0	7160	2840
101000	0	0	0	0	7512	2488
102000	0	0	0	0	7619	2381
103000	0	0	0	0	7810	2190
104000	0	0	0	0	7794	2206
105000	0	0	0	0	7437	2563
106000	0	0	0	0	7047	2953
107000	0	0	0	0	6717	3283
108000	0	0	0	0	6438	3562
109000	0	0	0	0	6074	3926
110000	0	0	0	0	6137	3863
111000	0	0	0	0	6292	3708
112000	0	0	0	0	6612	3388
113000	0	0	0	0	6781	3219
114000	0	0	0	0	6827	3173
115000	0	0	0	0	7093	2907
116000	0	0	0	0	7573	2427
117000	0	0	0	0	7886	2114
118000	0	0	0	0	7939	2061
119000	0	0	0	0	7951	2049
120000	0	0	0	0	7901	2099
121000	0	0	0	0	7483	2517
122000	0	0	0	0	6658	3342
123000	0	0	0	0	6312	3688
124000	0	0	0	0	6060	3940
125000	0	0	0	0	5869	4131
126000	0	0	0	0	5111	4889
127000	0	0	0	0	4920	5080
128000	0	0	0	0	4625	5375
129000	0	0	0	0	4401	5599
130000	0	0	0	0	4304	5696
131000	0	0	0	0	4951	5049
132000	0	0	0	0	5538	4462
133000	0	0	0	0	5514	4486
134000	0	0	0	0	5874	4126
135000	0	0	0	0	5835	4165
136000	0	0	0	0	5952	4048
137000	0	0	0	0	5613	4387
138000	0	0	0	0	5718	4282
139000	0	0	0	0	5388	4612
140000	0	0	0	0	5101	4899
141000	0	0	0	0	4798	5202
142000	0	0	0	0	4991	5009
143000	0	0	0	0	5219	4781
144000	0	0	0	0	5286	4714
145000	0	0	1	0	4957	5042
146000	0	0	1	0	5127	4872
147000	0	0	1	0	5492	4507
148000	0	0	1	0	5558	4441
149000	0	0	1	0	6355	3644
150000	0	0	1	0	6624	3375
151000	0	0	1	0	6650	3349
152000	0	0	1	0	6406	3593
153000	0	0	1	0	6355	3644
154000	0	0	1	0	5825	4174
155000	0	0	0	0	5562	4438
156000	0	0	0	0	5092	4908
157000	0	0	0	0	5015	4985
158000	0	0	0	0	5413	4587
159000	0	0	0	0	5461	4539
160000	0	0	0	0	5568	4432
161000	0	0	0	0	5626	4374
162000	0	0	0	0	5901	4099
163000	0	0	0	0	6068	3932
164000	0	0	0	0	6739	3261
165000	0	0	0	0	7382	2618
166000	0	0	0	0	8194	1806
167000	0	0	0	0	8383	1617
168000	0	0	0	0	8349	1651
169000	0	0	0	0	8195	1805
170000	0	0	0	0	8136	1864
171000	0	0	0	0	8170	1830
172000	0	0	0	0	8093	1907
173000	0	0	0	0	7952	2048
174000	0	0	0	0	7997	2003
175000	0	0	0	0	8344	1656
176000	0	0	0	0	8511	1489
